method,seed_index,slot,average_delay,cumulative_average_delay,average_fidelity,solver_time,throughput,sync_triggers
proposed,0,39,495.181544,351.888355,0.719878,0.000237,17.0,7.0
proposed,0,40,261.586175,349.630801,0.695214,0.00015,14.0,6.0
proposed,1,1,346.969927,346.969927,0.683178,0.000345,13.0,4.0
proposed,1,2,136.144746,241.557337,0.663877,0.00016,13.0,6.0
proposed,1,3,533.990444,339.035039,0.667265,0.000764,18.0,6.0
proposed,1,4,570.875879,396.995249,0.664855,0.000713,16.0,6.0
proposed,1,5,754.719904,468.54018,0.77528,0.000355,15.0,10.0
proposed,1,6,602.08786,490.798127,0.757884,0.000544,18.0,5.0
proposed,1,7,649.283377,513.438877,0.696297,0.000349,15.0,6.0
proposed,1,8,444.138289,504.776303,0.69443,0.00026,13.0,5.0
proposed,1,9,576.256753,512.718575,0.784996,0.000764,16.0,9.0
proposed,1,10,458.377132,507.284431,0.724539,0.00048,14.0,5.0
proposed,1,11,447.559871,501.854926,0.723445,0.004852,16.0,6.0
proposed,1,12,569.824008,507.519016,0.688572,0.001081,16.0,4.0
proposed,1,13,763.57838,527.21589,0.777874,0.00054,18.0,9.0
proposed,1,14,587.439796,531.517598,0.746647,0.000517,17.0,5.0
proposed,1,15,515.713762,530.464008,0.712871,0.000349,15.0,6.0
proposed,1,16,503.721796,528.79262,0.667305,0.000192,13.0,5.0
proposed,1,17,456.264611,524.526267,0.780034,0.00014,13.0,9.0
proposed,1,18,413.322943,518.348304,0.753176,0.000317,18.0,5.0
proposed,1,19,536.710551,519.314738,0.733827,0.000156,15.0,6.0
proposed,1,20,660.155042,526.356753,0.705576,0.00049,17.0,6.0
proposed,1,21,592.93689,529.527236,0.78604,0.000309,15.0,9.0
proposed,1,22,750.99749,539.594066,0.731955,0.000999,19.0,5.0
proposed,1,23,705.429958,546.804322,0.717367,0.000417,17.0,6.0
proposed,1,24,757.5213,555.584196,0.690931,0.000335,18.0,6.0
proposed,1,25,730.435321,562.578241,0.766722,0.000212,16.0,9.0
proposed,1,26,589.138575,563.599792,0.726912,0.000145,15.0,6.0
proposed,1,27,761.911285,570.944663,0.706009,0.00034,17.0,5.0
proposed,1,28,549.896475,570.192942,0.680031,0.00028,17.0,6.0
proposed,1,29,543.230415,569.263199,0.755649,0.000219,15.0,9.0
proposed,1,30,615.491923,570.804157,0.731043,0.000609,17.0,5.0
proposed,1,31,655.407001,573.533281,0.686324,0.000536,16.0,6.0
proposed,1,32,564.374222,573.24706,0.680501,0.000133,14.0,6.0
proposed,1,33,554.948047,572.692545,0.798447,9.1e-05,14.0,10.0
proposed,1,34,462.47299,569.450793,0.764764,0.000152,17.0,5.0
proposed,1,35,583.13223,569.841691,0.732521,0.000314,18.0,6.0
proposed,1,36,329.710047,563.171368,0.668023,0.000143,10.0,5.0
proposed,1,37,795.176481,569.441776,0.798437,0.000824,19.0,10.0
proposed,1,38,642.112023,571.354151,0.768229,0.000125,16.0,6.0
proposed,1,39,662.341833,573.687169,0.727891,0.000191,18.0,5.0
proposed,1,40,530.656751,572.611408,0.686414,0.000243,17.0,5.0
proposed,2,1,522.662311,522.662311,0.577851,0.000613,19.0,6.0
proposed,2,2,111.995102,317.328707,0.656948,3.8e-05,10.0,7.0
proposed,2,3,408.678546,347.778653,0.673825,0.000431,18.0,6.0
proposed,2,4,152.099375,298.858834,0.668064,0.000162,16.0,7.0
proposed,2,5,231.04531,285.296129,0.758884,0.000222,15.0,9.0
proposed,2,6,89.047128,252.587962,0.728752,0.000114,13.0,6.0
proposed,2,7,100.497729,230.860786,0.700257,0.000144,15.0,6.0
proposed,2,8,371.38994,248.42693,0.683465,0.000229,16.0,7.0
proposed,2,9,496.969774,276.042802,0.744825,0.00051,17.0,9.0
proposed,2,10,499.43165,298.381686,0.71925,0.000263,17.0,7.0
proposed,2,11,109.082863,281.172702,0.699564,0.019565,15.0,6.0
proposed,2,12,503.995679,299.741284,0.672255,0.000247,16.0,6.0
proposed,2,13,480.446216,313.641663,0.742075,0.000371,18.0,9.0
proposed,2,14,275.841363,310.941642,0.731672,0.0004,17.0,7.0
proposed,2,15,353.566848,313.783322,0.695978,0.000127,14.0,7.0
proposed,2,16,334.477004,315.076677,0.651101,0.0002,14.0,7.0
proposed,2,17,191.345427,307.798368,0.746271,0.000533,15.0,9.0
proposed,2,18,256.154095,304.929242,0.690464,0.000497,14.0,6.0
proposed,2,19,307.450269,305.061928,0.673469,0.001453,16.0,6.0
proposed,2,20,157.352216,297.676442,0.688252,0.000632,16.0,7.0
proposed,2,21,266.074898,296.171607,0.735537,0.001941,18.0,9.0
proposed,2,22,125.612769,288.418932,0.699899,0.000142,13.0,6.0
proposed,2,23,441.036054,295.054459,0.678672,0.000415,17.0,7.0
proposed,2,24,350.930767,297.382639,0.685821,0.000165,15.0,6.0
proposed,2,25,175.694239,292.515103,0.738039,0.000881,17.0,9.0
proposed,2,26,270.657561,291.674428,0.69131,0.001954,19.0,6.0
proposed,2,27,116.279322,285.178313,0.680923,0.00065,17.0,7.0
proposed,2,28,106.484196,278.79638,0.663624,0.000482,15.0,6.0
proposed,2,29,646.491248,291.475514,0.736063,0.000379,18.0,9.0
proposed,2,30,359.787612,293.752584,0.707748,0.001072,16.0,6.0
proposed,2,31,257.598223,292.586314,0.705334,0.000975,17.0,7.0
proposed,2,32,215.567068,290.179463,0.664174,0.005244,18.0,6.0
proposed,2,33,398.916811,293.474534,0.749651,0.004167,18.0,10.0
proposed,2,34,131.796059,288.719284,0.722805,0.000344,12.0,6.0
proposed,2,35,205.073694,286.32941,0.694895,0.0063,16.0,6.0
proposed,2,36,225.687856,284.644923,0.663837,0.000208,14.0,6.0
proposed,2,37,378.911752,287.192675,0.740755,0.004996,14.0,10.0
proposed,2,38,146.155318,283.481166,0.705263,0.001615,12.0,7.0
proposed,2,39,216.877085,281.773369,0.695101,0.002449,17.0,6.0
proposed,2,40,390.04089,284.480057,0.6837,0.001137,17.0,7.0
baseline,0,1,27.138415,27.138415,0.618854,0.0,10.0,5.0
baseline,0,2,85.323411,56.230913,0.636392,0.0,6.0,7.0
baseline,0,3,50.80231,54.421379,0.705915,0.0,12.0,7.0
baseline,0,4,40.373395,50.909383,0.687979,0.0,9.0,8.0
baseline,0,5,52.542557,51.236018,0.741561,0.0,13.0,8.0
baseline,0,6,59.170094,52.558364,0.751801,0.0,7.0,8.0
baseline,0,7,42.910332,51.180073,0.718062,0.0,11.0,6.0
baseline,0,8,51.225478,51.185749,0.697991,0.0,8.0,7.0
baseline,0,9,51.751484,51.248608,0.716505,0.0,11.0,8.0
baseline,0,10,65.906001,52.714348,0.725406,0.0,9.0,7.0
baseline,0,11,64.046421,53.744536,0.687039,0.0,11.0,6.0
baseline,0,12,69.163121,55.029418,0.701529,0.0,12.0,7.0
baseline,0,13,50.755241,54.700635,0.741037,0.0,12.0,8.0
baseline,0,14,47.194589,54.164489,0.71791,0.0,8.0,7.0
baseline,0,15,42.613657,53.394434,0.693257,0.0,12.0,6.0
baseline,0,16,67.949343,54.304116,0.673789,0.0,8.0,7.0
baseline,0,17,62.527587,54.787849,0.704625,0.0,7.0,8.0
baseline,0,18,68.298778,55.538456,0.701663,0.0,8.0,7.0
baseline,0,19,45.408789,55.005316,0.681095,0.0,11.0,7.0
baseline,0,20,54.476537,54.978877,0.703,0.0,6.0,8.0
baseline,0,21,50.264556,54.754385,0.753583,0.0,11.0,9.0
baseline,0,22,45.194756,54.319857,0.712063,0.0,8.0,7.0
baseline,0,23,47.442181,54.020827,0.696697,0.0,9.0,6.0
baseline,0,24,41.115756,53.483116,0.663238,0.0,7.0,6.0
baseline,0,25,44.689046,53.131353,0.695023,0.0,11.0,9.0
baseline,0,26,61.789983,53.464378,0.729557,0.0,6.0,7.0
baseline,0,27,57.427094,53.611145,0.670414,0.0,9.0,6.0
baseline,0,28,44.966822,53.302419,0.644617,0.0,7.0,6.0
baseline,0,29,38.953532,52.80763,0.716197,0.0,10.0,9.0
baseline,0,30,47.062373,52.616121,0.736082,0.0,11.0,7.0
baseline,0,31,36.745815,52.104176,0.66886,0.0,8.0,6.0
baseline,0,32,35.355267,51.580772,0.675923,0.0,10.0,7.0
baseline,0,33,60.272382,51.844155,0.725248,0.0,7.0,8.0
baseline,0,34,50.548895,51.806059,0.694901,0.0,10.0,7.0
baseline,0,35,58.09421,51.98572,0.693224,0.0,10.0,6.0
baseline,0,36,62.40445,52.275129,0.686972,0.0,11.0,7.0
baseline,0,37,55.011885,52.349096,0.713956,0.0,9.0,8.0
baseline,0,38,44.741331,52.148891,0.693052,0.0,9.0,7.0
baseline,0,39,49.736715,52.087041,0.702675,0.0,9.0,6.0
baseline,0,40,72.868019,52.606565,0.710596,0.0,8.0,7.0
baseline,1,1,41.636421,41.636421,0.683178,0.0,10.0,4.0
baseline,1,2,26.226854,33.931637,0.661723,0.0,2.0,6.0
baseline,1,3,37.472259,35.111844,0.682846,0.0,10.0,6.0
baseline,1,4,137.294604,60.657534,0.659261,0.0,1.0,5.0
baseline,1,5,43.291129,57.184253,0.754879,0.0,8.0,9.0
baseline,1,6,66.444087,58.727559,0.734439,0.0,4.0,5.0
baseline,1,7,57.266815,58.518881,0.677287,0.0,9.0,6.0
baseline,1,8,63.322158,59.119291,0.688016,0.0,4.0,5.0
baseline,1,9,58.129584,59.009323,0.776122,0.0,10.0,9.0
baseline,1,10,67.931847,59.901576,0.718696,0.0,5.0,5.0
baseline,1,11,61.064045,60.007255,0.719094,0.0,9.0,6.0
baseline,1,12,82.435432,61.87627,0.689242,0.0,3.0,5.0
baseline,1,13,55.035983,61.350094,0.776461,0.0,10.0,9.0
baseline,1,14,46.109649,60.26149,0.744718,0.0,3.0,5.0
baseline,1,15,57.496626,60.077166,0.700762,0.0,10.0,6.0
baseline,1,16,40.619375,58.861054,0.662667,0.0,3.0,5.0
baseline,1,17,65.554095,59.254763,0.775847,0.0,8.0,9.0
baseline,1,18,55.091674,59.02348,0.745378,0.0,4.0,5.0
baseline,1,19,71.197929,59.66424,0.727361,0.0,8.0,6.0
baseline,1,20,97.261662,61.544111,0.698996,0.0,3.0,6.0
baseline,1,21,61.085738,61.522284,0.774335,0.0,9.0,9.0
baseline,1,22,110.628011,63.754363,0.726406,0.0,4.0,5.0
baseline,1,23,53.82852,63.322804,0.698039,0.0,8.0,5.0
baseline,1,24,50.681649,62.796089,0.691914,0.0,6.0,6.0
baseline,1,25,59.231817,62.653519,0.767544,0.0,8.0,10.0
baseline,1,26,70.375964,62.950536,0.734016,0.0,6.0,5.0
baseline,1,27,70.022496,63.21246,0.698991,0.0,7.0,5.0
baseline,1,28,62.411439,63.183852,0.665369,0.0,6.0,5.0
baseline,1,29,52.631972,62.819994,0.761766,0.0,9.0,10.0
baseline,1,30,67.693449,62.982443,0.742658,0.0,6.0,6.0
baseline,1,31,55.085402,62.7277,0.68627,0.0,7.0,6.0
baseline,1,32,71.066359,62.988283,0.672822,0.0,4.0,5.0
baseline,1,33,61.034858,62.929088,0.79506,0.0,7.0,10.0
baseline,1,34,64.717887,62.9817,0.762884,0.0,7.0,5.0
baseline,1,35,66.984618,63.096069,0.732483,0.0,7.0,6.0
baseline,1,36,46.171211,62.625934,0.665507,0.0,3.0,6.0
baseline,1,37,66.464346,62.729675,0.797169,0.0,9.0,10.0
baseline,1,38,109.05297,63.948709,0.760883,0.0,3.0,6.0
baseline,1,39,60.477128,63.859694,0.728567,0.0,12.0,5.0
baseline,1,40,55.549648,63.651943,0.68563,0.0,2.0,5.0
baseline,2,1,39.57391,39.57391,0.577851,0.0,14.0,6.0
baseline,2,2,109.850754,74.712332,0.645654,0.0,2.0,7.0
baseline,2,3,46.54733,65.323998,0.679302,0.0,14.0,6.0
baseline,2,4,59.451543,63.855884,0.673803,0.0,3.0,7.0
baseline,2,5,45.41617,60.167941,0.736201,0.0,13.0,9.0
baseline,2,6,66.697069,61.256129,0.71787,0.0,6.0,6.0
baseline,2,7,56.502492,60.577038,0.686318,0.0,12.0,6.0
baseline,2,8,103.921153,65.995053,0.680486,0.0,5.0,7.0
baseline,2,9,30.884758,62.093909,0.728254,0.0,10.0,9.0
baseline,2,10,66.171923,62.50171,0.695647,0.0,7.0,6.0
baseline,2,11,31.685905,59.700273,0.677165,0.0,9.0,6.0
baseline,2,12,57.085451,59.482371,0.670609,0.0,9.0,7.0
baseline,2,13,92.820957,62.046878,0.749056,0.0,8.0,10.0
baseline,2,14,77.978156,63.184826,0.718818,0.0,10.0,7.0
baseline,2,15,70.212613,63.653346,0.684577,0.0,8.0,7.0
baseline,2,16,53.588882,63.024317,0.645684,0.0,9.0,7.0
baseline,2,17,68.882718,63.368928,0.736318,0.0,9.0,9.0
baseline,2,18,58.063192,63.074165,0.685201,0.0,7.0,6.0
baseline,2,19,57.150603,62.762399,0.674365,0.0,9.0,7.0
baseline,2,20,54.656421,62.3571,0.675356,0.0,9.0,7.0
baseline,2,21,53.619007,61.941,0.730767,0.0,10.0,9.0
baseline,2,22,53.057799,61.537218,0.691478,0.0,8.0,6.0
baseline,2,23,39.057896,60.559857,0.659814,0.0,9.0,6.0
baseline,2,24,69.879667,60.948182,0.69239,0.0,7.0,7.0
baseline,2,25,49.72771,60.499363,0.729474,0.0,11.0,9.0
baseline,2,26,65.869323,60.7059,0.699998,0.0,9.0,6.0
baseline,2,27,43.8347,60.081041,0.657524,0.0,11.0,6.0
baseline,2,28,44.427889,59.522,0.660391,0.0,9.0,7.0
baseline,2,29,55.938275,59.398423,0.742511,0.0,7.0,10.0
baseline,2,30,56.525233,59.30265,0.70946,0.0,8.0,7.0
baseline,2,31,50.112336,59.006188,0.697119,0.0,12.0,6.0
baseline,2,32,51.942416,58.785445,0.654535,0.0,6.0,7.0
baseline,2,33,57.463876,58.745398,0.742127,0.0,8.0,9.0
baseline,2,34,66.031258,58.959688,0.71642,0.0,8.0,6.0
baseline,2,35,55.650435,58.865138,0.684228,0.0,10.0,6.0
baseline,2,36,62.001006,58.952245,0.689868,0.0,9.0,7.0
baseline,2,37,49.747556,58.70347,0.744531,0.0,9.0,9.0
baseline,2,38,59.143458,58.715048,0.692548,0.0,7.0,6.0
baseline,2,39,50.898305,58.514619,0.674909,0.0,9.0,6.0
baseline,2,40,58.944032,58.525354,0.694504,0.0,10.0,7.0
