method,seed_index,slot,time_avg_delay,time_avg_energy_raw,time_avg_energy_scaled,time_avg_fidelity
proposed,0,162,3026.40097085,4.772916157301e-01,0.47729162,0.6778859
proposed,0,163,3020.87330903,4.770737047789e-01,0.4770737,0.67739919
proposed,0,164,3020.61890277,4.778767119288e-01,0.47787671,0.67764298
proposed,0,165,3013.52835963,4.779389520508e-01,0.47793895,0.6777447
proposed,0,166,3011.58076595,4.782655268050e-01,0.47826553,0.67799271
proposed,0,167,3019.04251127,4.782741877863e-01,0.47827419,0.6782663
proposed,0,168,3020.85720272,4.782288403930e-01,0.47822884,0.67856057
proposed,0,169,3015.16965822,4.773036194011e-01,0.47730362,0.67841445
proposed,0,170,3019.40129191,4.764685716456e-01,0.47646857,0.67850915
proposed,0,171,3019.66770244,4.776176986736e-01,0.4776177,0.67837705
proposed,0,172,3017.98705547,4.782637909194e-01,0.47826379,0.67852126
proposed,0,173,3012.64776818,4.784538998340e-01,0.4784539,0.67860731
proposed,0,174,3005.96460185,4.769226937514e-01,0.47692269,0.67855679
proposed,0,175,3001.68640199,4.766746986770e-01,0.4766747,0.67856875
proposed,0,176,3002.12240954,4.756316877760e-01,0.47563169,0.67876748
proposed,0,177,3008.23114642,4.764796276847e-01,0.47647963,0.67877846
proposed,0,178,3007.39961235,4.762566713742e-01,0.47625667,0.67891401
proposed,0,179,3002.69926151,4.768948948617e-01,0.47689489,0.67877622
proposed,0,180,2999.36401038,4.747586539053e-01,0.47475865,0.67879799
proposed,0,181,2992.41357071,4.738347126658e-01,0.47383471,0.67878362
proposed,0,182,2999.45172079,4.730493257938e-01,0.47304933,0.67885031
proposed,0,183,2993.54837443,4.726732759309e-01,0.47267328,0.67876565
proposed,0,184,2988.87629503,4.728788010773e-01,0.4728788,0.67877433
proposed,0,185,2978.51599838,4.712980144533e-01,0.47129801,0.67876015
proposed,0,186,2975.10615773,4.712543851635e-01,0.47125439,0.67895475
proposed,0,187,2978.51502098,4.712252926399e-01,0.47122529,0.67910281
proposed,0,188,2976.66777166,4.704354297105e-01,0.47043543,0.67913791
proposed,0,189,2973.77025779,4.699166661119e-01,0.46991667,0.67901036
proposed,0,190,2981.52788874,4.701412282024e-01,0.47014123,0.67928541
proposed,0,191,2979.47579367,4.700232237519e-01,0.47002322,0.67935382
proposed,0,192,2978.543554,4.699456006618e-01,0.4699456,0.67950941
proposed,0,193,2972.79739434,4.695500658586e-01,0.46955007,0.67952819
proposed,0,194,2968.22833369,4.686937312674e-01,0.46869373,0.67944372
proposed,0,195,2961.57265723,4.678013259135e-01,0.46780133,0.67961943
proposed,0,196,2958.65555681,4.682534544280e-01,0.46825345,0.67955589
proposed,0,197,2953.52013081,4.676308790130e-01,0.46763088,0.67962152
proposed,0,198,2958.66262718,4.682565978804e-01,0.4682566,0.6794548
proposed,0,199,2953.75162296,4.679565606966e-01,0.46795656,0.67961331
proposed,0,200,2950.24771088,4.679116676895e-01,0.46791167,0.67959918
proposed,0,201,2945.4507762,4.673810367332e-01,0.46738104,0.67958078
proposed,0,202,2946.64472714,4.681603691127e-01,0.46816037,0.67967884
proposed,0,203,2948.30968404,4.673084409483e-01,0.46730844,0.67991123
proposed,0,204,2945.51386301,4.665165883201e-01,0.46651659,0.68000684
proposed,0,205,2946.25681947,4.666471497226e-01,0.46664715,0.68000898
proposed,0,206,2948.01993148,4.688858311465e-01,0.46888583,0.67993213
proposed,0,207,2942.69819157,4.679865510297e-01,0.46798655,0.67960522
proposed,0,208,2937.65155481,4.672996348120e-01,0.46729963,0.6798831
proposed,0,209,2936.62323706,4.669915033283e-01,0.4669915,0.67987264
proposed,0,210,2934.7557048,4.662516944679e-01,0.46625169,0.67996024
proposed,0,211,2938.21062502,4.665466879345e-01,0.46654669,0.68014994
proposed,0,212,2936.0133843,4.652494861510e-01,0.46524949,0.68013344
proposed,0,213,2936.36954867,4.643878000414e-01,0.4643878,0.68003593
proposed,0,214,2938.91469611,4.649002620201e-01,0.46490026,0.68024721
proposed,0,215,2946.53903381,4.654081536587e-01,0.46540815,0.68046757
proposed,0,216,2943.94203281,4.660957774249e-01,0.46609578,0.68040997
proposed,0,217,2938.75676115,4.655629172470e-01,0.46556292,0.68057502
proposed,0,218,2937.23842985,4.649532068044e-01,0.46495321,0.68055355
proposed,0,219,2940.8900394,4.650286003172e-01,0.4650286,0.68048343
proposed,0,220,2947.59565902,4.657997029284e-01,0.4657997,0.68043183
proposed,0,221,2949.21554555,4.679206168564e-01,0.46792062,0.68023827
proposed,0,222,2954.39115159,4.683229512788e-01,0.46832295,0.68014577
proposed,0,223,2949.48535137,4.679620696114e-01,0.46796207,0.68009179
proposed,0,224,2952.40030162,4.699107468804e-01,0.46991075,0.68021495
proposed,0,225,2953.78770519,4.702984282415e-01,0.47029843,0.68028624
proposed,0,226,2950.23848121,4.707991311205e-01,0.47079913,0.68045523
proposed,0,227,2948.67132331,4.703660244444e-01,0.47036602,0.68073043
proposed,0,228,2947.59479216,4.698511104168e-01,0.46985111,0.68084106
proposed,0,229,2947.31290448,4.693054599131e-01,0.46930546,0.68106352
proposed,0,230,2947.19882825,4.701071159655e-01,0.47010712,0.68128881
proposed,0,231,2944.75101918,4.699058902523e-01,0.46990589,0.68147129
proposed,0,232,2944.27364067,4.687660665558e-01,0.46876607,0.68167615
proposed,0,233,2943.72332999,4.684809619414e-01,0.46848096,0.68189839
proposed,0,234,2956.25194621,4.684055781516e-01,0.46840558,0.68209417
proposed,0,235,2956.25279807,4.688349737576e-01,0.46883497,0.68218475
proposed,0,236,2954.27161166,4.689073531948e-01,0.46890735,0.68230296
proposed,0,237,2955.6385234,4.689216524284e-01,0.46892165,0.68239742
proposed,0,238,2953.82706248,4.682346025928e-01,0.4682346,0.68245318
proposed,0,239,2951.17328458,4.688595156708e-01,0.46885952,0.68258437
proposed,0,240,2948.17182449,4.681767900175e-01,0.46817679,0.68262242
proposed,0,241,2945.76916689,4.671664872655e-01,0.46716649,0.68275384
proposed,0,242,2949.28012078,4.668657266600e-01,0.46686573,0.68281889
proposed,0,243,2946.19815395,4.669550764926e-01,0.46695508,0.68304116
proposed,0,244,2948.69319332,4.673069086064e-01,0.46730691,0.68316586
proposed,0,245,2950.46501977,4.667638742301e-01,0.46676387,0.68330317
proposed,0,246,2948.09979897,4.662989107579e-01,0.46629891,0.68342178
proposed,0,247,2944.37571944,4.665115126372e-01,0.46651151,0.68347403
proposed,0,248,2938.26650712,4.649793526236e-01,0.46497935,0.68352692
proposed,0,249,2943.98209095,4.655545850404e-01,0.46555459,0.68356372
proposed,0,250,2977.9038922,4.754102349036e-01,0.47541023,0.68356525
proposed,0,251,2989.21588897,4.752276142420e-01,0.47522761,0.68351519
proposed,0,252,2991.78039559,4.752950319526e-01,0.47529503,0.68347267
proposed,0,253,3007.93580069,4.756790767604e-01,0.47567908,0.68331963
proposed,0,254,3005.2969779,4.758557133207e-01,0.47585571,0.68326715
proposed,0,255,3001.83035576,4.762490627020e-01,0.47624906,0.68315069
proposed,0,256,3001.09095439,4.767600873468e-01,0.47676009,0.68326083
proposed,0,257,2999.97454623,4.764043343577e-01,0.47640433,0.68329935
proposed,0,258,3000.76311221,4.749922116645e-01,0.47499221,0.68344635
proposed,0,259,3000.57077243,4.752110117004e-01,0.47521101,0.68343978
proposed,0,260,3000.57314271,4.759535733287e-01,0.47595357,0.68338974
proposed,0,261,3003.40003199,4.746207812993e-01,0.47462078,0.68340756
proposed,0,262,3009.9312602,4.752501302935e-01,0.47525013,0.68338149
proposed,0,263,3004.9370114,4.750350091573e-01,0.47503501,0.68333851
proposed,0,264,3000.74665477,4.745045694694e-01,0.47450457,0.68328047
proposed,0,265,3003.8683903,4.735376909441e-01,0.47353769,0.68332261
proposed,0,266,3001.57599555,4.737562410685e-01,0.47375624,0.68349711
proposed,0,267,2996.20310039,4.731827222747e-01,0.47318272,0.68341249
proposed,0,268,2995.38509699,4.734021855117e-01,0.47340219,0.68346852
proposed,0,269,2992.13639148,4.726217166123e-01,0.47262172,0.68348559
proposed,0,270,2987.30363343,4.721000562937e-01,0.47210006,0.68353414
proposed,0,271,2988.02103335,4.712535358311e-01,0.47125354,0.68353629
proposed,0,272,2985.89457235,4.714428772647e-01,0.47144288,0.68363165
proposed,0,273,2982.92845148,4.716157684048e-01,0.47161577,0.68354459
proposed,0,274,2983.95181213,4.712090062070e-01,0.47120901,0.68375227
proposed,0,275,2981.59448559,4.704740383138e-01,0.47047404,0.6838743
proposed,0,276,2983.93597891,4.705551557343e-01,0.47055516,0.68395446
proposed,0,277,2986.6732837,4.697195773758e-01,0.46971958,0.68400538
proposed,0,278,2983.16801771,4.694495086688e-01,0.46944951,0.68409212
proposed,0,279,2983.29703994,4.693515528645e-01,0.46935155,0.6842189
proposed,0,280,2976.32906024,4.686039645724e-01,0.46860396,0.68423085
proposed,0,281,2972.32757517,4.682508749007e-01,0.46825087,0.68428069
proposed,0,282,2972.31156048,4.676493172252e-01,0.46764932,0.6843901
proposed,0,283,2967.76297216,4.671142339286e-01,0.46711423,0.68455293
proposed,0,284,2965.23117717,4.669695522299e-01,0.46696955,0.68465927
proposed,0,285,2972.34842258,4.670501002370e-01,0.4670501,0.68489109
proposed,0,286,2967.92529758,4.666066346601e-01,0.46660663,0.68496059
proposed,0,287,2967.75688515,4.667313540949e-01,0.46673135,0.68502297
proposed,0,288,2965.09089922,4.670777636015e-01,0.46707776,0.68507627
proposed,0,289,2962.36351701,4.670134188773e-01,0.46701342,0.68518281
proposed,0,290,2960.74711746,4.666262148215e-01,0.46662621,0.68523833
proposed,0,291,2957.56806645,4.662921042864e-01,0.4662921,0.68531334
proposed,0,292,2952.68040392,4.662325448145e-01,0.46623254,0.6851826
proposed,0,293,2951.96357464,4.652209305740e-01,0.46522093,0.68520234
proposed,0,294,2951.6681002,4.648590661875e-01,0.46485907,0.68524539
proposed,0,295,2950.84244252,4.653691986349e-01,0.4653692,0.68537835
proposed,0,296,2948.02868309,4.650435145529e-01,0.46504351,0.68556156
proposed,0,297,2945.21128038,4.643967623261e-01,0.46439676,0.68563788
proposed,0,298,2945.53029692,4.637159906623e-01,0.46371599,0.68562448
proposed,0,299,2943.64392956,4.639590812128e-01,0.46395908,0.6856539
proposed,0,300,2942.45377284,4.634064021285e-01,0.4634064,0.68579346
proposed,0,301,2940.36399158,4.628430217713e-01,0.46284302,0.68586923
proposed,0,302,2942.10444285,4.626522869697e-01,0.46265229,0.68586341
proposed,0,303,2939.32472407,4.628735410345e-01,0.46287354,0.68585621
proposed,0,304,2945.77487256,4.626235766509e-01,0.46262358,0.68593375
proposed,0,305,2947.48586425,4.621101315479e-01,0.46211013,0.6859607
proposed,0,306,2946.47355827,4.623142134949e-01,0.46231421,0.68600104
proposed,0,307,2960.68375183,4.667930046222e-01,0.466793,0.68601568
proposed,0,308,2961.78337147,4.671805575555e-01,0.46718056,0.68607752
proposed,0,309,2958.24178125,4.672511511520e-01,0.46725115,0.68607381
proposed,0,310,2961.21043627,4.666242655267e-01,0.46662427,0.68607163
proposed,0,311,2958.54036513,4.666419038262e-01,0.4666419,0.68606105
proposed,0,312,2958.50402489,4.667869587547e-01,0.46678696,0.68616278
proposed,0,313,2958.14247256,4.672296364188e-01,0.46722964,0.68627376
proposed,0,314,2954.82641452,4.670394784697e-01,0.46703948,0.68624982
proposed,0,315,2954.38811661,4.673680220768e-01,0.46736802,0.68629254
proposed,0,316,2952.11086776,4.670543972669e-01,0.4670544,0.6862969
proposed,0,317,2955.94617833,4.676404467993e-01,0.46764045,0.68640839
proposed,0,318,2964.32084873,4.681273531429e-01,0.46812735,0.68639081
proposed,0,319,2960.67292278,4.680484143100e-01,0.46804841,0.68636818
proposed,0,320,2959.12840296,4.671671753229e-01,0.46716718,0.6863732
proposed,0,321,2970.04312617,4.707950686254e-01,0.47079507,0.68650377
proposed,0,322,2983.46361686,4.709410790755e-01,0.47094108,0.68655154
proposed,0,323,2989.95174931,4.712402593522e-01,0.47124026,0.6864713
proposed,0,324,2990.0218836,4.713123400309e-01,0.47131234,0.68640431
proposed,0,325,2988.1684019,4.715796939994e-01,0.47157969,0.68636226
proposed,0,326,2984.87863162,4.707921064310e-01,0.47079211,0.68641442
proposed,0,327,2984.25923812,4.705859442019e-01,0.47058594,0.68643042
proposed,0,328,2984.24617017,4.712301874300e-01,0.47123019,0.68646244
proposed,0,329,2987.04761482,4.707483186708e-01,0.47074832,0.68656197
proposed,0,330,2984.77771962,4.710744371172e-01,0.47107444,0.68655257
proposed,0,331,2986.06142002,4.705904898175e-01,0.47059049,0.68655397
proposed,0,332,2985.73680943,4.711274330925e-01,0.47112743,0.68652738
proposed,0,333,2983.98667357,4.714606419658e-01,0.47146064,0.68654311
proposed,0,334,2984.00354183,4.709743386832e-01,0.47097434,0.68650833
proposed,0,335,2980.86524372,4.711047741781e-01,0.47110477,0.68652389
proposed,0,336,2981.00821322,4.704790506345e-01,0.47047905,0.68660759
proposed,0,337,2982.43284974,4.718519109981e-01,0.47185191,0.68669764
proposed,0,338,2984.07874739,4.720950478578e-01,0.47209505,0.68671369
proposed,0,339,2982.33830794,4.716471037690e-01,0.4716471,0.68657657
proposed,0,340,2984.75252463,4.732789026741e-01,0.4732789,0.68667259
proposed,0,341,2983.83100892,4.730955385435e-01,0.47309554,0.68664931
proposed,0,342,2982.06943984,4.729952168703e-01,0.47299522,0.68678825
proposed,0,343,2990.2867494,4.724155827810e-01,0.47241558,0.68685463
proposed,0,344,2987.67659979,4.725249060056e-01,0.47252491,0.68683684
proposed,0,345,2989.89123976,4.722507224712e-01,0.47225072,0.68688604
proposed,0,346,2987.72351573,4.725659783830e-01,0.47256598,0.68693016
proposed,0,347,2985.69455223,4.721672832409e-01,0.47216728,0.68711906
proposed,0,348,2989.33245805,4.719194631366e-01,0.47191946,0.68724839
proposed,0,349,2987.37074006,4.713115432320e-01,0.47131154,0.68729869
proposed,0,350,2986.0405893,4.709800522617e-01,0.47098005,0.68744195
proposed,0,351,2985.63014086,4.706487641378e-01,0.47064876,0.68748453
proposed,0,352,2984.45991015,4.704535244330e-01,0.47045352,0.68760901
proposed,0,353,2981.25148194,4.698562899526e-01,0.46985629,0.68761842
proposed,0,354,2981.60143035,4.695335395791e-01,0.46953354,0.68759579
proposed,0,355,2981.85649467,4.700924440068e-01,0.47009244,0.68759771
proposed,0,356,2980.62529821,4.694445724579e-01,0.46944457,0.68750479
proposed,0,357,2979.28635032,4.698434458101e-01,0.46984345,0.68754536
proposed,0,358,2980.77269774,4.692837791381e-01,0.46928378,0.68770571
proposed,0,359,2985.82064243,4.711831633290e-01,0.47118316,0.68776913
proposed,0,360,2988.17394993,4.707374127481e-01,0.47073741,0.68771943
proposed,0,361,2984.76397352,4.704369040249e-01,0.4704369,0.68786791
proposed,0,362,3011.69777764,4.772755625480e-01,0.47727556,0.68793313
proposed,0,363,3010.5007573,4.771916498946e-01,0.47719165,0.68787691
proposed,0,364,3009.78634515,4.769714812387e-01,0.47697148,0.68783689
proposed,0,365,3018.94000525,4.803085006730e-01,0.4803085,0.68787292
proposed,0,366,3019.38646514,4.801842644121e-01,0.48018426,0.68786788
proposed,0,367,3017.2031568,4.796980559382e-01,0.47969806,0.6877994
proposed,0,368,3026.27202614,4.790658761147e-01,0.47906588,0.68788884
proposed,0,369,3047.89467727,4.858361122725e-01,0.48583611,0.68779955
proposed,0,370,3046.114193,4.854217976378e-01,0.4854218,0.68762477
proposed,0,371,3046.43158897,4.857145072065e-01,0.48571451,0.6876059
proposed,0,372,3058.29741226,4.898121031834e-01,0.4898121,0.68755935
proposed,0,373,3059.67564093,4.896642459573e-01,0.48966425,0.68745859
proposed,0,374,3057.49068888,4.892878027778e-01,0.4892878,0.68738743
proposed,0,375,3056.66404403,4.885068457559e-01,0.48850685,0.6874326
