method,seed_index,slot,average_delay,cumulative_average_delay,average_fidelity,solver_time,throughput,sync_triggers
proposed,2,35,234.671874,198.616783,0.698403,0.00273,16.0,8.0
proposed,2,36,131.350478,196.748275,0.689912,0.000203,14.0,9.0
proposed,2,37,213.911588,197.212148,0.693814,0.000186,14.0,7.0
proposed,2,38,132.428723,195.507321,0.650902,0.000917,12.0,9.0
proposed,2,39,120.269057,193.578135,0.693558,0.000905,17.0,8.0
proposed,2,40,207.477861,193.925628,0.70886,0.000922,17.0,7.0
baseline,0,1,161.21944,161.21944,0.618854,0.0,14.0,5.0
baseline,0,2,487.103345,324.161393,0.631921,0.0,17.0,9.0
baseline,0,3,379.951348,342.758045,0.668443,0.0,17.0,10.0
baseline,0,4,273.08589,325.340006,0.679672,0.0,17.0,9.0
baseline,0,5,419.869251,344.245855,0.687402,0.0,16.0,10.0
baseline,0,6,275.532718,332.793666,0.716402,0.0,17.0,10.0
baseline,0,7,438.889969,347.95028,0.693575,0.0,18.0,10.0
baseline,0,8,390.613252,353.283152,0.707583,0.0,18.0,10.0
baseline,0,9,338.187143,351.605817,0.683181,0.0,17.0,10.0
baseline,0,10,336.213115,350.066547,0.686098,0.0,16.0,10.0
baseline,0,11,371.907682,352.052105,0.697815,0.0,16.0,10.0
baseline,0,12,307.556261,348.344118,0.673763,0.0,15.0,10.0
baseline,0,13,278.226059,342.950421,0.699902,0.0,18.0,10.0
baseline,0,14,484.962793,353.094162,0.692292,0.0,16.0,10.0
baseline,0,15,192.379564,342.379855,0.691398,0.0,16.0,10.0
baseline,0,16,315.740926,340.714922,0.662438,0.0,14.0,10.0
baseline,0,17,184.975366,331.553772,0.667129,0.0,14.0,10.0
baseline,0,18,413.545631,336.108875,0.679749,0.0,15.0,10.0
baseline,0,19,190.583121,328.449625,0.699925,0.0,16.0,10.0
baseline,0,20,306.009673,327.327627,0.674525,0.0,12.0,10.0
baseline,0,21,424.042408,331.933093,0.696568,0.0,18.0,10.0
baseline,0,22,265.615146,328.918641,0.678152,0.0,15.0,10.0
baseline,0,23,239.503632,325.031032,0.676901,0.0,16.0,10.0
baseline,0,24,519.572883,333.136942,0.684236,0.0,17.0,10.0
baseline,0,25,297.302281,331.703556,0.675782,0.0,15.0,10.0
baseline,0,26,416.586112,334.96827,0.693096,0.0,15.0,10.0
baseline,0,27,263.690758,332.328362,0.667411,0.0,14.0,10.0
baseline,0,28,202.9552,327.707892,0.667467,0.0,16.0,10.0
baseline,0,29,289.669318,326.396217,0.677818,0.0,18.0,10.0
baseline,0,30,459.899035,330.846311,0.687994,0.0,17.0,10.0
baseline,0,31,227.721309,327.519698,0.661017,0.0,14.0,10.0
baseline,0,32,361.320351,328.575968,0.687139,0.0,17.0,10.0
baseline,0,33,523.399057,334.479698,0.687266,0.0,16.0,10.0
baseline,0,34,212.688925,330.897617,0.644738,0.0,13.0,10.0
baseline,0,35,280.262331,329.450894,0.704022,0.0,16.0,10.0
baseline,0,36,553.318757,335.669446,0.677791,0.0,19.0,10.0
baseline,0,37,261.66527,333.669333,0.675639,0.0,15.0,10.0
baseline,0,38,210.136734,330.418475,0.670291,0.0,15.0,10.0
baseline,0,39,313.808542,329.992579,0.705775,0.0,17.0,10.0
baseline,0,40,239.849247,327.738996,0.697691,0.0,14.0,10.0
baseline,1,1,193.443447,193.443447,0.683178,0.0,13.0,4.0
baseline,1,2,318.57468,256.009063,0.651736,0.0,13.0,8.0
baseline,1,3,190.068887,234.029005,0.65351,0.0,18.0,10.0
baseline,1,4,394.805858,274.223218,0.68274,0.0,16.0,9.0
baseline,1,5,155.562674,250.491109,0.687929,0.0,15.0,10.0
baseline,1,6,554.001626,301.076195,0.706059,0.0,18.0,9.0
baseline,1,7,229.799489,290.893809,0.662716,0.0,15.0,9.0
baseline,1,8,181.742642,277.249913,0.697146,0.0,13.0,9.0
baseline,1,9,245.377408,273.708523,0.723564,0.0,16.0,10.0
baseline,1,10,223.130399,268.650711,0.687293,0.0,14.0,9.0
baseline,1,11,225.563999,264.733737,0.683673,0.0,16.0,9.0
baseline,1,12,239.419999,262.624259,0.70364,0.0,16.0,9.0
baseline,1,13,435.312181,275.907945,0.708277,0.0,18.0,10.0
baseline,1,14,271.645478,275.603483,0.711673,0.0,17.0,10.0
baseline,1,15,345.900663,280.289962,0.700417,0.0,15.0,9.0
baseline,1,16,184.36037,274.294363,0.678624,0.0,13.0,9.0
baseline,1,17,175.591851,268.488332,0.696677,0.0,13.0,9.0
baseline,1,18,181.324536,263.645899,0.713069,0.0,18.0,10.0
baseline,1,19,281.46757,264.583882,0.71414,0.0,15.0,9.0
baseline,1,20,257.761497,264.242763,0.727735,0.0,17.0,9.0
baseline,1,21,305.112798,266.188955,0.704269,0.0,15.0,9.0
baseline,1,22,445.748632,274.350758,0.719005,0.0,19.0,10.0
baseline,1,23,369.527022,278.488857,0.706253,0.0,17.0,9.0
baseline,1,24,383.376773,282.859187,0.698982,0.0,18.0,9.0
baseline,1,25,553.681498,293.692079,0.698686,0.0,16.0,10.0
baseline,1,26,257.478849,292.299263,0.683134,0.0,15.0,10.0
baseline,1,27,378.993834,295.510173,0.695789,0.0,17.0,10.0
baseline,1,28,472.281882,301.823448,0.69824,0.0,17.0,10.0
baseline,1,29,195.651839,298.162358,0.685266,0.0,15.0,10.0
baseline,1,30,424.974569,302.389432,0.695404,0.0,17.0,10.0
baseline,1,31,300.028236,302.313264,0.673608,0.0,16.0,10.0
baseline,1,32,205.89665,299.300245,0.700032,0.0,14.0,10.0
baseline,1,33,191.220094,296.025089,0.728636,0.0,14.0,9.0
baseline,1,34,224.303513,293.915631,0.722587,0.0,17.0,9.0
baseline,1,35,399.338531,296.927714,0.725818,0.0,18.0,10.0
baseline,1,36,131.097027,292.321306,0.685458,0.0,10.0,10.0
baseline,1,37,311.104086,292.828948,0.732661,0.0,19.0,9.0
baseline,1,38,371.132035,294.889556,0.731981,0.0,16.0,9.0
baseline,1,39,250.699626,293.756481,0.727514,0.0,18.0,10.0
baseline,1,40,373.047287,295.738751,0.718299,0.0,17.0,9.0
baseline,2,1,190.851266,190.851266,0.577851,0.0,19.0,6.0
baseline,2,2,235.218279,213.034773,0.624799,0.0,10.0,10.0
baseline,2,3,197.602889,207.890811,0.684713,0.0,18.0,8.0
baseline,2,4,276.562398,225.058708,0.675204,0.0,16.0,9.0
baseline,2,5,216.363371,223.319641,0.678362,0.0,15.0,9.0
baseline,2,6,181.292771,216.315162,0.702352,0.0,13.0,10.0
baseline,2,7,212.750706,215.805954,0.700836,0.0,15.0,9.0
baseline,2,8,178.008512,211.081274,0.698767,0.0,16.0,8.0
baseline,2,9,438.045442,236.299515,0.67621,0.0,17.0,8.0
baseline,2,10,428.331971,255.502761,0.711654,0.0,17.0,10.0
baseline,2,11,250.515298,255.049355,0.707959,0.0,15.0,9.0
baseline,2,12,251.777464,254.776697,0.690682,0.0,16.0,8.0
baseline,2,13,476.911818,271.864014,0.690232,0.0,18.0,9.0
baseline,2,14,365.210395,278.531613,0.699553,0.0,17.0,10.0
baseline,2,15,435.026344,288.964595,0.691928,0.0,14.0,9.0
baseline,2,16,211.679797,284.134295,0.648848,0.0,14.0,9.0
baseline,2,17,216.129906,280.134037,0.67704,0.0,15.0,9.0
baseline,2,18,185.652936,274.885087,0.676244,0.0,14.0,10.0
baseline,2,19,235.514975,272.812976,0.684588,0.0,16.0,9.0
baseline,2,20,300.164994,274.180577,0.690138,0.0,16.0,9.0
baseline,2,21,217.175038,271.466027,0.664724,0.0,18.0,8.0
baseline,2,22,242.534083,270.150939,0.677082,0.0,13.0,9.0
baseline,2,23,170.536773,265.819888,0.672012,0.0,17.0,9.0
baseline,2,24,584.823276,279.111696,0.694492,0.0,15.0,9.0
baseline,2,25,265.300339,278.559242,0.675203,0.0,17.0,9.0
baseline,2,26,234.394644,276.860603,0.686229,0.0,19.0,10.0
baseline,2,27,348.665498,279.520044,0.665737,0.0,17.0,9.0
baseline,2,28,178.516541,275.912776,0.661461,0.0,15.0,9.0
baseline,2,29,506.614621,283.868012,0.672861,0.0,18.0,9.0
baseline,2,30,300.913209,284.436185,0.692899,0.0,16.0,10.0
baseline,2,31,318.047876,285.520433,0.691526,0.0,17.0,9.0
baseline,2,32,335.356343,287.077805,0.660221,0.0,18.0,9.0
baseline,2,33,456.153561,292.201313,0.664197,0.0,18.0,9.0
baseline,2,34,185.870606,289.073939,0.698178,0.0,12.0,10.0
baseline,2,35,267.784704,288.465676,0.69663,0.0,16.0,9.0
baseline,2,36,255.828331,287.559083,0.680724,0.0,14.0,8.0
baseline,2,37,172.567858,284.451212,0.668574,0.0,14.0,8.0
baseline,2,38,155.125922,281.047915,0.672933,0.0,12.0,10.0
baseline,2,39,251.042737,280.278551,0.685928,0.0,17.0,9.0
baseline,2,40,328.831499,281.492375,0.689727,0.0,17.0,9.0
